Fund Holdings as of,"25/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","230,182,511.04","11.72","230,182,511.04","217,383.00","1,058.88","United States","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","176,360,654.07","8.98","176,360,654.07","217,383.00","811.29","United States","New York Stock Exchange Inc.","USD"
"MSFT","MICROSOFT","Information Technology","Equity","106,851,041.55","5.44","106,851,041.55","217,305.00","491.71","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","96,093,887.36","4.89","96,093,887.36","217,289.00","442.24","United States","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","86,201,216.04","4.39","86,201,216.04","217,356.00","396.59","United States","New York Stock Exchange Inc.","USD"
"V","VISA CLASS A","Financials","Equity","83,459,024.68","4.25","83,459,024.68","217,262.00","384.14","United States","New York Stock Exchange Inc.","USD"
"TRV","TRAVELERS COMPANIES","Financials","Equity","80,308,635.00","4.09","80,308,635.00","217,250.00","369.66","United States","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","77,491,615.88","3.95","77,491,615.88","217,252.00","356.69","United States","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","76,142,972.40","3.88","76,142,972.40","217,272.00","350.45","United States","New York Stock Exchange Inc.","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","75,381,570.48","3.84","75,381,570.48","217,263.00","346.96","United States","NASDAQ","USD"
"HD","HOME DEPOT","Consumer Discretionary","Equity","73,413,552.76","3.74","73,413,552.76","217,277.00","337.88","United States","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","72,990,848.65","3.72","72,990,848.65","217,267.00","335.95","United States","New York Stock Exchange Inc.","USD"
"AAPL","APPLE","Information Technology","Equity","67,304,082.00","3.43","67,304,082.00","217,180.00","309.90","United States","NASDAQ","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","59,463,124.28","3.03","59,463,124.28","217,702.00","273.14","United States","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","58,218,719.30","2.96","58,218,719.30","217,153.00","268.10","United States","New York Stock Exchange Inc.","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","56,833,284.12","2.89","56,833,284.12","217,702.00","261.06","United States","NASDAQ","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","50,983,631.38","2.60","50,983,631.38","217,702.00","234.19","United States","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","46,885,165.44","2.39","46,885,165.44","217,383.00","215.68","United States","NASDAQ","USD"
"NVDA","NVIDIA","Information Technology","Equity","46,380,985.00","2.36","46,380,985.00","217,700.00","213.05","United States","NASDAQ","USD"
"BA","BOEING","Industrials","Equity","45,808,581.60","2.33","45,808,581.60","217,020.00","211.08","United States","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE","Information Technology","Equity","44,779,330.07","2.28","44,779,330.07","217,703.00","205.69","United States","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON","Energy","Equity","43,516,452.78","2.22","43,516,452.78","217,702.00","199.89","United States","New York Stock Exchange Inc.","USD"
"MMM","3M","Industrials","Equity","39,052,257.03","1.99","39,052,257.03","217,719.00","179.37","United States","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Health Care","Equity","34,062,606.90","1.73","34,062,606.90","217,722.00","156.45","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","31,656,778.80","1.61","31,656,778.80","217,722.00","145.40","United States","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communication","Equity","24,221,572.50","1.23","24,221,572.50","217,722.00","111.25","United States","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","24,191,091.42","1.23","24,191,091.42","217,722.00","111.11","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","22,943,544.36","1.17","22,943,544.36","217,722.00","105.38","United States","NASDAQ","USD"
"KO","COCA-COLA","Consumer Staples","Equity","19,951,860.80","1.02","19,951,860.80","217,720.00","91.64","United States","New York Stock Exchange Inc.","USD"
"NKE","NIKE CLASS B","Consumer Discretionary","Equity","8,596,414.68","0.44","8,596,414.68","217,741.00","39.48","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","4,002,563.60","0.20","4,002,563.60","4,002,564.00","100.00","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","229,613.51","0.01","229,613.51","168,419.00","136.33","United Kingdom","-","GBP"
"MLIFT","CASH COLLATERAL USD MLIFT","Cash and/or Derivatives","Cash Collateral and Margins","218,000.00","0.01","218,000.00","218,000.00","100.00","United States","-","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,840.22","0.00","1,840.22","1,577.00","116.70","European Union","-","EUR"
"DMU6","DJIA MINI e-CBOT SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","3,755,150.00","14.00","53,645.00","-","Chicago Board Of Trade","USD"

