Fund Holdings as of,"25/Aug/2026"

Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA","EQUITY","Information Technology","Equity","2,453,150,802.85","8.26","2,453,150,802.85","11,514,437.00","213.05","United States","NASDAQ","USD"
"AAPL","APPLE","EQUITY","Information Technology","Equity","2,165,676,029.40","7.29","2,165,676,029.40","6,988,306.00","309.90","United States","NASDAQ","USD"
"MSFT","MICROSOFT","EQUITY","Information Technology","Equity","1,737,974,563.92","5.85","1,737,974,563.92","3,534,552.00","491.71","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY","EQUITY","Information Technology","Equity","1,382,146,540.56","4.65","1,382,146,540.56","1,481,448.00","932.97","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","EQUITY","Consumer Discretionary","Equity","1,336,200,366.90","4.50","1,336,200,366.90","5,118,365.00","261.06","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES","EQUITY","Information Technology","Equity","1,026,386,788.70","3.46","1,026,386,788.70","2,141,965.00","479.18","United States","NASDAQ","USD"
"GOOGL","ALPHABET CLASS A","EQUITY","Communication","Equity","961,454,610.72","3.24","961,454,610.72","2,771,082.00","346.96","United States","NASDAQ","USD"
"GOOG","ALPHABET CLASS C","EQUITY","Communication","Equity","891,312,700.04","3.00","891,312,700.04","2,596,006.00","343.34","United States","NASDAQ","USD"
"TSLA","TESLA INC","EQUITY","Consumer Discretionary","Equity","832,503,971.25","2.80","832,503,971.25","2,376,885.00","350.25","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","EQUITY","Information Technology","Equity","804,779,754.72","2.71","804,779,754.72","2,255,928.00","356.74","United States","NASDAQ","USD"
"META","META PLATFORMS CLASS A","EQUITY","Communication","Equity","803,115,512.55","2.70","803,115,512.55","1,408,851.00","570.05","United States","NASDAQ","USD"
"WMT","WALMART INC","EQUITY","Consumer Staples","Equity","675,289,055.54","2.27","675,289,055.54","6,408,133.00","105.38","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","EQUITY","Information Technology","Equity","577,567,716.84","1.94","577,567,716.84","6,602,283.00","87.48","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","EQUITY","Information Technology","Equity","575,275,691.63","1.94","575,275,691.63","5,177,533.00","111.11","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","EQUITY","Consumer Staples","Equity","559,343,106.43","1.88","559,343,106.43","582,643.00","960.01","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","EQUITY","Information Technology","Equity","520,997,380.69","1.75","520,997,380.69","3,016,253.00","172.73","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH","EQUITY","Information Technology","Equity","516,898,904.52","1.74","516,898,904.52","1,642,722.00","314.66","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","EQUITY","Information Technology","Equity","500,636,596.24","1.69","500,636,596.24","1,042,906.00","480.04","United States","NASDAQ","USD"
"NFLX","NETFLIX","EQUITY","Communication","Equity","454,875,309.12","1.53","454,875,309.12","5,531,744.00","82.23","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS","EQUITY","Information Technology","Equity","364,331,332.20","1.23","364,331,332.20","1,071,878.00","339.90","United States","NASDAQ","USD"
"SPCX","SPACE EXPLORATION TECHNOLOGIES COR","EQUITY","Communication","Equity","347,352,582.00","1.17","347,352,582.00","2,517,960.00","137.95","United States","NASDAQ","USD"
"KLAC","KLA","EQUITY","Information Technology","Equity","314,626,657.22","1.06","314,626,657.22","1,716,083.00","183.34","United States","NASDAQ","USD"
"AMGN","AMGEN INC","EQUITY","Health Care","Equity","313,504,378.24","1.06","313,504,378.24","708,901.00","442.24","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","EQUITY","Information Technology","Equity","310,877,292.60","1.05","310,877,292.60","1,195,452.00","260.05","United States","NASDAQ","USD"
"LIN","LINDE PLC","EQUITY","Materials","Equity","295,870,713.60","1.00","295,870,713.60","607,288.00","487.20","United States","NASDAQ","USD"
"SNDK","SANDISK","EQUITY","Information Technology","Equity","288,208,188.18","0.97","288,208,188.18","194,634.00","1,480.77","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY","EQUITY","Information Technology","Equity","276,249,263.22","0.93","276,249,263.22","1,149,219.00","240.38","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","EQUITY","Communication","Equity","258,207,468.09","0.87","258,207,468.09","1,421,769.00","181.61","United States","NASDAQ","USD"
"PEP","PEPSICO","EQUITY","Consumer Staples","Equity","255,462,288.32","0.86","255,462,288.32","1,795,616.00","142.27","United States","NASDAQ","USD"
